"","Well","replno","smpltp","templvol","QtyID","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","qpcrno","MONISprojectno","AssayID","speciesabbr","plateno","qpcrrundate","Cq","gen_specnm","Genus","species","dk_comnm","smpltp2","MST.y.m","ssn","Wellname.ssn.no1","gen_specnm.ssn","locnm","colldate","volfilt_mL","declat","declon","Welltype","Harbour","Harbour.Welltype","col.06","qpcr.rplno","welltp","qpcrno.plateno","spec.lat","mx.Cq.lod","intc5","lod.val","loq.val","rEffic","ampF","intc2","slo3","RSqdRn.1","templvol","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L"
"208","F1",6,"std3E0","3uL","QtyorID","Standard",6,0.1293,38.46,3,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","38.46","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","std3E0",NA,NA,"F1.NA.1","Pseudochattonella_verruculosa.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr927.6","Standard","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",NA,0,1,0
"209","F2",6,"std3E0","3uL","QtyorID","Standard",6,0.1293,39.48,3,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","39.48","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","std3E0",NA,NA,"F2.NA.1","Pseudochattonella_verruculosa.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr927.6","Standard","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",NA,0,1,0
"210","F3",6,"std3E0","3uL","QtyorID","Standard",6,0.1293,38.6,3,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","38.60","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","std3E0",NA,NA,"F3.NA.1","Pseudochattonella_verruculosa.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr927.6","Standard","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",NA,0,1,0
"211","G1",7,"std3E-1","3uL","QtyorID","Standard",7,0.1293,40.08,0.3,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","40.08","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","std3E-1",NA,NA,"G1.NA.1","Pseudochattonella_verruculosa.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr927.7","Standard","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",NA,0,1,0
"212","G2",7,"std3E-1","3uL","QtyorID","Standard",7,0.1293,39.71,0.3,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","39.71","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","std3E-1",NA,NA,"G2.NA.1","Pseudochattonella_verruculosa.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr927.7","Standard","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",NA,0,1,0
"223","C4",11,"MST2021-028","3uL","QtyorID","Unknown",11,0.1293,34.42,42.38,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","34.42","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021028","MST.2021028.2021.Sep","fall","C4.fall.1","Pseudochattonella_verruculosa.fall","HirtshalsNOR7715_92200001","2021-09-27",1200,57.6078333333333,9.90025555555555,"Unknown","HirtshalsNOR7715_92200001","HirtshalsNOR7715_92200001.Unknown","#DF536B","qpcr927.11","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",4.70888888888889,4708.88888888889,4709.88888888889,3.67301066179734
"224","C5",11,"MST2021-028","3uL","QtyorID","Unknown",11,0.1293,34.54,38.91,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","34.54","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021028","MST.2021028.2021.Sep","fall","C5.fall.1","Pseudochattonella_verruculosa.fall","HirtshalsNOR7715_92200001","2021-09-27",1200,57.6078333333333,9.90025555555555,"Unknown","HirtshalsNOR7715_92200001","HirtshalsNOR7715_92200001.Unknown","#DF536B","qpcr927.11","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",4.32333333333333,4323.33333333333,4324.33333333333,3.63591916336816
"225","C6",11,"MST2021-028","3uL","QtyorID","Unknown",11,0.1293,34.63,36.56,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","34.63","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021028","MST.2021028.2021.Sep","fall","C6.fall.1","Pseudochattonella_verruculosa.fall","HirtshalsNOR7715_92200001","2021-09-27",1200,57.6078333333333,9.90025555555555,"Unknown","HirtshalsNOR7715_92200001","HirtshalsNOR7715_92200001.Unknown","#DF536B","qpcr927.11","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",4.06222222222222,4062.22222222222,4063.22222222222,3.60887057503271
"227","D5",12,"MST2021-031","3uL","QtyorID","Unknown",12,0.1293,39.83,0.9778,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","39.83","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021031","MST.2021031.2021.Jun","spri","D5.spri.1","Pseudochattonella_verruculosa.spri","HirtshalsNOR7715_92200001","2021-06-17",1200,57.6078333333333,9.90025555555555,"Unknown","HirtshalsNOR7715_92200001","HirtshalsNOR7715_92200001.Unknown","#DF536B","qpcr927.12","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.108644444444444,108.644444444444,109.644444444444,2.03998663137837
"229","E4",13,"MST2021-032","3uL","QtyorID","Unknown",13,0.1293,37.23,5.99,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","37.23","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021032","MST.2021032.2021.Jun","spri","E4.spri.1","Pseudochattonella_verruculosa.spri","KragskovRevSyd","2021-06-23",1400,57.5407666666667,10.4687805555556,"Unknown","KragskovRevSyd","KragskovRevSyd.Unknown",NA,"qpcr927.13","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.570476190476191,570.476190476191,571.476190476191,2.75699814101265
"230","E5",13,"MST2021-032","3uL","QtyorID","Unknown",13,0.1293,36.47,10.14,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","36.47","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021032","MST.2021032.2021.Jun","spri","E5.spri.1","Pseudochattonella_verruculosa.spri","KragskovRevSyd","2021-06-23",1400,57.5407666666667,10.4687805555556,"Unknown","KragskovRevSyd","KragskovRevSyd.Unknown",NA,"qpcr927.13","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.965714285714286,965.714285714286,966.714285714286,2.98529813646921
"231","E6",13,"MST2021-032","3uL","QtyorID","Unknown",13,0.1293,38.14,3.18,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","38.14","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021032","MST.2021032.2021.Jun","spri","E6.spri.1","Pseudochattonella_verruculosa.spri","KragskovRevSyd","2021-06-23",1400,57.5407666666667,10.4687805555556,"Unknown","KragskovRevSyd","KragskovRevSyd.Unknown",NA,"qpcr927.13","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.302857142857143,302.857142857143,303.857142857143,2.48266944988847
"232","F4",14,"MST2021-040","3uL","QtyorID","Unknown",14,0.1293,33.28,93.88,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","33.28","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021040","MST.2021040.2021.Sep","fall","F4.fall.1","Pseudochattonella_verruculosa.fall","Tr3Fornaes","2021-09-15",1270,56.4437333333333,10.9524027777778,"Unknown","Tr3Fornaes","Tr3Fornaes.Unknown","#61D04F","qpcr927.14","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",9.85616797900263,9856.16797900263,9857.16797900263,3.9937521575621
"233","F5",14,"MST2021-040","3uL","QtyorID","Unknown",14,0.1293,33.24,96.17,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","33.24","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021040","MST.2021040.2021.Sep","fall","F5.fall.1","Pseudochattonella_verruculosa.fall","Tr3Fornaes","2021-09-15",1270,56.4437333333333,10.9524027777778,"Unknown","Tr3Fornaes","Tr3Fornaes.Unknown","#61D04F","qpcr927.14","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",10.0965879265092,10096.5879265092,10097.5879265092,4.00421764355349
"234","F6",14,"MST2021-040","3uL","QtyorID","Unknown",14,0.1293,33.54,78.11,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","33.54","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021040","MST.2021040.2021.Sep","fall","F6.fall.1","Pseudochattonella_verruculosa.fall","Tr3Fornaes","2021-09-15",1270,56.4437333333333,10.9524027777778,"Unknown","Tr3Fornaes","Tr3Fornaes.Unknown","#61D04F","qpcr927.14","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",8.2005249343832,8200.5249343832,8201.5249343832,3.91389460958068
"235","G4",15,"MST2021-081","3uL","QtyorID","Unknown",15,0.1293,40.95,0.4492,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","40.95","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021081","MST.2021081.2021.Sep","fall","G4.fall.1","Pseudochattonella_verruculosa.fall","Soenderhooest","2021-09-20",1300,55.3375166666667,8.35012777777778,"Unknown","Soenderhooest","Soenderhooest.Unknown","#2297E6","qpcr927.15","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.0460717948717949,46.0717948717949,47.0717948717949,1.67276075849472
"238","H4",16,"MST2021-044","3uL","QtyorID","Unknown",16,0.1293,29.7,1132,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","29.70","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021044","MST.2021044.2021.May","spri","H4.spri.1","Pseudochattonella_verruculosa.spri","Soenderhooest","2021-05-19",1200,55.3375166666667,8.35012777777778,"Unknown","Soenderhooest","Soenderhooest.Unknown","#2297E6","qpcr927.16","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",125.777777777778,125777.777777778,125778.777777778,5.09960737027052
"239","H5",16,"MST2021-044","3uL","QtyorID","Unknown",16,0.1293,29.71,1130,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","29.71","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021044","MST.2021044.2021.May","spri","H5.spri.1","Pseudochattonella_verruculosa.spri","Soenderhooest","2021-05-19",1200,55.3375166666667,8.35012777777778,"Unknown","Soenderhooest","Soenderhooest.Unknown","#2297E6","qpcr927.16","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",125.555555555556,125555.555555556,125556.555555556,5.09883939301292
"240","H6",16,"MST2021-044","3uL","QtyorID","Unknown",16,0.1293,29.8,1058,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","29.80","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021044","MST.2021044.2021.May","spri","H6.spri.1","Pseudochattonella_verruculosa.spri","Soenderhooest","2021-05-19",1200,55.3375166666667,8.35012777777778,"Unknown","Soenderhooest","Soenderhooest.Unknown","#2297E6","qpcr927.16","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",117.555555555556,117555.555555556,117556.555555556,5.07024685262063
"241","A7",17,"MST2021-049","3uL","QtyorID","Unknown",17,0.1293,30.75,546.7,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","30.75","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021049","MST.2021049.2021.May","spri","A7.spri.1","Pseudochattonella_verruculosa.spri","ListerDyb","2021-05-21",500,55.0938666666667,8.56828611111111,"Unknown","ListerDyb","ListerDyb.Unknown",NA,"qpcr927.17","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",145.786666666667,145786.666666667,145787.666666667,5.1637207851262
"242","A8",17,"MST2021-049","3uL","QtyorID","Unknown",17,0.1293,30.97,466.7,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","30.97","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021049","MST.2021049.2021.May","spri","A8.spri.1","Pseudochattonella_verruculosa.spri","ListerDyb","2021-05-21",500,55.0938666666667,8.56828611111111,"Unknown","ListerDyb","ListerDyb.Unknown",NA,"qpcr927.17","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",124.453333333333,124453.333333333,124454.333333333,5.09501002276053
"243","A9",17,"MST2021-049","3uL","QtyorID","Unknown",17,0.1293,30.62,596.1,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","30.62","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021049","MST.2021049.2021.May","spri","A9.spri.1","Pseudochattonella_verruculosa.spri","ListerDyb","2021-05-21",500,55.0938666666667,8.56828611111111,"Unknown","ListerDyb","ListerDyb.Unknown",NA,"qpcr927.17","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",158.96,158960,158961,5.20129058619232
"247","C7",19,"MST2021-071","3uL","QtyorID","Unknown",19,0.1293,37.7,4.29,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","37.70","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021071","MST.2021071.2021.Oct","fall","C7.fall.1","Pseudochattonella_verruculosa.fall","FYN6900017","2021-10-13",1500,55.4782833333333,10.5169277777778,"Unknown","FYN6900017","FYN6900017.Unknown","#28E2E5","qpcr927.19","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.381333333333333,381.333333333333,382.333333333333,2.58244216318161
"248","C8",19,"MST2021-071","3uL","QtyorID","Unknown",19,0.1293,36.37,10.9,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","36.37","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021071","MST.2021071.2021.Oct","fall","C8.fall.1","Pseudochattonella_verruculosa.fall","FYN6900017","2021-10-13",1500,55.4782833333333,10.5169277777778,"Unknown","FYN6900017","FYN6900017.Unknown","#28E2E5","qpcr927.19","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.968888888888889,968.888888888889,969.888888888889,2.98672198405347
"249","C9",19,"MST2021-071","3uL","QtyorID","Unknown",19,0.1293,36.36,10.94,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","36.36","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021071","MST.2021071.2021.Oct","fall","C9.fall.1","Pseudochattonella_verruculosa.fall","FYN6900017","2021-10-13",1500,55.4782833333333,10.5169277777778,"Unknown","FYN6900017","FYN6900017.Unknown","#28E2E5","qpcr927.19","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.972444444444444,972.444444444444,973.444444444444,2.98831117089489
"251","D8",20,"MST2021-005","3uL","QtyorID","Unknown",20,0.1293,47.13,0.006056,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","47.13","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021005","MST.2021005.2021.Jun","spri","D8.spri.1","Pseudochattonella_verruculosa.spri","ROS60_322RoskildeFjord","2021-06-01",1600,55.713,12.04,"Unknown","ROS60_322RoskildeFjord","ROS60_322RoskildeFjord.Unknown",NA,"qpcr927.20","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.000504666666666667,0.504666666666667,1.50466666666667,0.177440300022081
"268","B10",26,"MST2021-075","3uL","QtyorID","Unknown",26,0.1293,47.57,0.004458,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","47.57","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021075","MST.2021075.2021.May","spri","B10.spri.1","Pseudochattonella_verruculosa.spri","VEJ0006870_94300001","2021-05-11",1100,55.6743833333333,10.0845083333333,"Unknown","VEJ0006870_94300001","VEJ0006870_94300001.Unknown",NA,"qpcr927.26","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.000540363636363636,0.540363636363636,1.54036363636364,0.187623257605185
"269","B11",26,"MST2021-075","3uL","QtyorID","Unknown",26,0.1293,49,0.001643,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","49.00","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021075","MST.2021075.2021.May","spri","B11.spri.1","Pseudochattonella_verruculosa.spri","VEJ0006870_94300001","2021-05-11",1100,55.6743833333333,10.0845083333333,"Unknown","VEJ0006870_94300001","VEJ0006870_94300001.Unknown",NA,"qpcr927.26","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.000199151515151515,0.199151515151515,1.19915151515152,0.0788740605274845
"270","B12",26,"MST2021-075","3uL","QtyorID","Unknown",26,0.1293,48.55,0.002253,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","48.55","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021075","MST.2021075.2021.May","spri","B12.spri.1","Pseudochattonella_verruculosa.spri","VEJ0006870_94300001","2021-05-11",1100,55.6743833333333,10.0845083333333,"Unknown","VEJ0006870_94300001","VEJ0006870_94300001.Unknown",NA,"qpcr927.26","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.000273090909090909,0.273090909090909,1.27309090909091,0.10485941693477
"271","C10",27,"MST1022","3uL","QtyorID","Unknown",27,0.1293,49.28,0.001352,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","49.28","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST0001022","MST.1022.2021.May","spri","C10.spri.1","Pseudochattonella_verruculosa.spri","ARH1700006_94400007","2021-05-17",1100,56.1547333333333,10.3170055555556,"Unknown","ARH1700006_94400007","ARH1700006_94400007.Unknown",NA,"qpcr927.27","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.000163878787878788,0.163878787878788,1.16387878787879,0.0659077530832219
"275","D11",28,"MST2021-089","3uL","QtyorID","Unknown",28,0.1293,48.08,0.003108,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","48.08","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021089","MST.2021089.2021.May","spri","D11.spri.1","Pseudochattonella_verruculosa.spri","EbeltoftVig","2021-05-17",1400,56.2094,10.6003444444444,"Unknown","EbeltoftVig","EbeltoftVig.Unknown",NA,"qpcr927.28","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.000296,0.296,1.296,0.112605001534575
"276","D12",28,"MST2021-089","3uL","QtyorID","Unknown",28,0.1293,48.42,0.002466,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","48.42","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021089","MST.2021089.2021.May","spri","D12.spri.1","Pseudochattonella_verruculosa.spri","EbeltoftVig","2021-05-17",1400,56.2094,10.6003444444444,"Unknown","EbeltoftVig","EbeltoftVig.Unknown",NA,"qpcr927.28","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.000234857142857143,0.234857142857143,1.23485714285714,0.0916167181969469
"280","F10",30,"MST2021-062","3uL","QtyorID","Unknown",30,0.1293,40.45,0.6357,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","40.45","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021062","MST.2021062.2021.May","spri","F10.spri.1","Pseudochattonella_verruculosa.spri","95600002_FYN6300043","2021-05-21",1400,54.9975833333333,10.1654166666667,"Unknown","95600002_FYN6300043","95600002_FYN6300043.Unknown",NA,"qpcr927.30","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.0605428571428571,60.5428571428572,61.5428571428572,1.78917765461169
"281","F11",30,"MST2021-062","3uL","QtyorID","Unknown",30,0.1293,40.93,0.4532,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","40.93","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021062","MST.2021062.2021.May","spri","F11.spri.1","Pseudochattonella_verruculosa.spri","95600002_FYN6300043","2021-05-21",1400,54.9975833333333,10.1654166666667,"Unknown","95600002_FYN6300043","95600002_FYN6300043.Unknown",NA,"qpcr927.30","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.0431619047619048,43.1619047619048,44.1619047619048,1.64504779682587
"282","F12",30,"MST2021-062","3uL","QtyorID","Unknown",30,0.1293,41.05,0.4169,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","41.05","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021062","MST.2021062.2021.May","spri","F12.spri.1","Pseudochattonella_verruculosa.spri","95600002_FYN6300043","2021-05-21",1400,54.9975833333333,10.1654166666667,"Unknown","95600002_FYN6300043","95600002_FYN6300043.Unknown",NA,"qpcr927.30","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",0.0397047619047619,39.7047619047619,40.7047619047619,1.60964521875811
"286","H10",32,"MST2021-099","3uL","QtyorID","Unknown",32,0.1293,31.37,355.3,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","31.37","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021099","MST.2021099.2021.Aug","fall","H10.fall.1","Pseudochattonella_verruculosa.fall","94400007_ARH170006","2021-08-24",1500,56.1544166666667,10.3166972222222,"Unknown","94400007_ARH170006","94400007_ARH170006.Unknown","#CD0BBC","qpcr927.32","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",31.5822222222222,31582.2222222222,31583.2222222222,4.49945643605679
"287","H11",32,"MST2021-099","3uL","QtyorID","Unknown",32,0.1293,31.55,313.3,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","31.55","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021099","MST.2021099.2021.Aug","fall","H11.fall.1","Pseudochattonella_verruculosa.fall","94400007_ARH170006","2021-08-24",1500,56.1544166666667,10.3166972222222,"Unknown","94400007_ARH170006","94400007_ARH170006.Unknown","#CD0BBC","qpcr927.32","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",27.8488888888889,27848.8888888889,27849.8888888889,4.44482346683331
"288","H12",32,"MST2021-099","3uL","QtyorID","Unknown",32,0.1293,31.31,368.5,0.989,-3.305,"qpcr927","MONIS6","AssID04","Psever","plt01","qpcrrundate20220422","31.31","Pseudochattonella verruculosa","Pseudochattonella","verruculosa","heterokont flagelat","MST2021099","MST.2021099.2021.Aug","fall","H12.fall.1","Pseudochattonella_verruculosa.fall","94400007_ARH170006","2021-08-24",1500,56.1544166666667,10.3166972222222,"Unknown","94400007_ARH170006","94400007_ARH170006.Unknown","#CD0BBC","qpcr927.32","Unknown","qpcr927.plt01","Pseudochattonella verruculosa","40.08","41.525","0.3","3","100.7","2.00700375846129","39.7971000211184","-3.31","99.433","uL",32.7555555555556,32755.5555555556,32756.5555555556,4.51529822819638
