"","speciesabbr","smplNm.x","U_Pr_Nr.x","GnNm.x","SpNm.x","ClNm.x","PhNm.x","speciesNm.x","lokalitet_vanda.x","lon.x","lat.x","Lok_omr01.x","Dato_inds.x","typCnt","mch","molcnt","Dato_inds.dd","Dato_inds.mm","Dato_inds.yy","ssn.smpl","mch.ssn","eDN.lv1.l10","snpb","lon.m","lat.m","uspcAb","MST.n_Dinds","U_Pr_Nr.y","Navn_Inds","skib","Inst","Dato_inds.y","Lok_omr01.y","lokalitet_vanda.y","lok_pos_lat.x","lok_pos_lon.x","max_Dyb","Dyb_Str_m","Vwf_mL","vandsoejllagd","Dyb_lagd01","dato_80C","Temp_Inds","Bemaerkn","MST.nummer.x","smplNm.y","ddlod","qlod","qloq","qloq.unmf","mcp_ddPCR","mcp_qPCR","sdmn_ddPCR","sdmn_qPCR","sdmx_ddPCR","sdmx_qPCR","GnNm.y","SpNm.y","GnNmLt","speciesNm.y","smplTp","ClNm.y","PhNm.y","U_Pr_Nr","Dato_inds","lokalitet_vanda","lok_pos_lat.y","lok_pos_lon.y","Lok_omr01","lat.y","lon.y","MST.nummer.y","Unikt.prøvesæt.nummer","Noter.på.plastic.posen","Konc.målt.på.Qubit._ng.uL","Dato.for.ekstraktion","Ekstraktionsnummer","Noter2","Elueringvolumen.AE.buffer.uL","Sub_Nmb_for_extraction","Dato_for_indsml","X.Noter2","U_Pr_Nr.y.y","MSTno_di"
"69","Karmik","MST2021-071","MST2021071","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",94230001,10.5169333333333,55.4678333333333,"FYN6900017","2021-10-13","mcp","ddPCR",85.958957672119,13,10,2021,"1st_season","ddPCR : 1st_season",1.93931432546692,11,10.1169333333333,55.4678333333333,"Karmik","MST2021071_2021-10-13","MST2021071","FlemmingNoergaard&PauliJoergensen","Belone","Fyn","2021-10-13","FYN6900017",94230001,"55.4678333333333","10.5169333333333","98","1","1500","nej",NA,"2021-10-21","11.4",NA,"MST2021071","MST2021-071",0.409050658345222,30,30,30,85.958957672119,927.633333333333,80.412893295288,748.81553966242,91.510248184204,1106.45112700425,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021071","2021-10-13",94230001,"55.4678333333333","10.5169333333333","FYN6900017",55.4678333333333,10.5169333333333,"MST2021-071","4","21-10","6.5","2022-jan-11","MST-SX24",NA,"400","24_04","2021-10-13",NA,"MST2021071","MST2021071::2021-10-13"
"70","Karmik","MST2021-071","MST2021071","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",94230001,10.5169333333333,55.4678333333333,"FYN6900017","2021-10-13","mcp","qPCR",927.633333333333,13,10,2021,"1st_season","qPCR : 1st_season",2.967844268629,11,10.1169333333333,55.4678333333333,"Karmik","MST2021071_2021-10-13","MST2021071","FlemmingNoergaard&PauliJoergensen","Belone","Fyn","2021-10-13","FYN6900017",94230001,"55.4678333333333","10.5169333333333","98","1","1500","nej",NA,"2021-10-21","11.4",NA,"MST2021071","MST2021-071",0.409050658345222,30,30,30,85.958957672119,927.633333333333,80.412893295288,748.81553966242,91.510248184204,1106.45112700425,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021071","2021-10-13",94230001,"55.4678333333333","10.5169333333333","FYN6900017",55.4678333333333,10.5169333333333,"MST2021-071","4","21-10","6.5","2022-jan-11","MST-SX24",NA,"400","24_04","2021-10-13",NA,"MST2021071","MST2021071::2021-10-13"
"71","Karmik","MST2021-079","MST2021079","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",93740007,9.06681944444444,56.6208333333333,"93740007_VIB3727_1","2021-09-06","mcp","ddPCR",1.32433235645294,6,9,2021,"1st_season","ddPCR : 1st_season",0.366298227958143,11,8.66681944444444,56.6208333333333,"Karmik","MST2021079_2021-09-06","MST2021079","RasmusBillegrav","Frigg","MSTMJL","2021-09-06","93740007_VIB3727_1",93740007,"56.6208333333333","9.06681944444444","51","1","1100","ja","2","2021-09-08","173.5",NA,"MST2021079","MST2021-079",0.409050658345222,30,30,30,1.32433235645294,17.9233333333333,0.760461315512655,13.2060212455726,2.11543187499047,22.640645421094,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021079","2021-09-06",93740007,"56.6208333333333","9.06681944444444","93740007_VIB3727_1",56.6208333333333,9.06681944444444,"MST2021-079","21","Fytoplankton, 06.09.2021, 93740007","7.6","2021-nov-24","MST-SX21",NA,"400","21_21","2021-09-06",NA,"MST2021079","MST2021079::2021-09-06"
"72","Karmik","MST2021-079","MST2021079","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",93740007,9.06681944444444,56.6208333333333,"93740007_VIB3727_1","2021-09-06","mcp","qPCR",17.9233333333333,6,9,2021,"1st_season","qPCR : 1st_season",1.27699763950575,11,8.66681944444444,56.6208333333333,"Karmik","MST2021079_2021-09-06","MST2021079","RasmusBillegrav","Frigg","MSTMJL","2021-09-06","93740007_VIB3727_1",93740007,"56.6208333333333","9.06681944444444","51","1","1100","ja","2","2021-09-08","173.5",NA,"MST2021079","MST2021-079",0.409050658345222,30,30,30,1.32433235645294,17.9233333333333,0.760461315512655,13.2060212455726,2.11543187499047,22.640645421094,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021079","2021-09-06",93740007,"56.6208333333333","9.06681944444444","93740007_VIB3727_1",56.6208333333333,9.06681944444444,"MST2021-079","21","Fytoplankton, 06.09.2021, 93740007","7.6","2021-nov-24","MST-SX21",NA,"400","21_21","2021-09-06",NA,"MST2021079","MST2021079::2021-09-06"
"73","Karmik","MST2021-081","MST2021081","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",91500007,8.35012777777778,55.3375166666667,"Soenderhooest","2021-09-20","mcp","ddPCR",18.0782926082611,20,9,2021,"1st_season","ddPCR : 1st_season",1.28053950537908,11,7.95012777777778,55.3375166666667,"Karmik","MST2021081_2021-09-20","MST2021081","LasseoerstedJensen","Haig","Sydjylland","2021-09-20","Soenderhooest",91500007,"55.3375166666667","8.35012777777778","63","1","1300","nej",NA,"2021-09-21","16","RIB1510007","MST2021081","MST2021-081",0.409050658345222,30,30,30,18.0782926082611,133.6,15.6692552566528,113.1,20.7234454154968,154.1,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021081","2021-09-20",91500007,"55.3375166666667","8.35012777777778","Soenderhooest",55.3375166666667,8.35012777777778,"MST2021-081","22","RIB1510007, 21-09-21, Fytoplankton","3.54","2021-nov-24","MST-SX21",NA,"400","21_22","2021-09-20",NA,"MST2021081","MST2021081::2021-09-20"
"74","Karmik","MST2021-081","MST2021081","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",91500007,8.35012777777778,55.3375166666667,"Soenderhooest","2021-09-20","mcp","qPCR",133.6,20,9,2021,"1st_season","qPCR : 1st_season",2.12904505988796,11,7.95012777777778,55.3375166666667,"Karmik","MST2021081_2021-09-20","MST2021081","LasseoerstedJensen","Haig","Sydjylland","2021-09-20","Soenderhooest",91500007,"55.3375166666667","8.35012777777778","63","1","1300","nej",NA,"2021-09-21","16","RIB1510007","MST2021081","MST2021-081",0.409050658345222,30,30,30,18.0782926082611,133.6,15.6692552566528,113.1,20.7234454154968,154.1,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021081","2021-09-20",91500007,"55.3375166666667","8.35012777777778","Soenderhooest",55.3375166666667,8.35012777777778,"MST2021-081","22","RIB1510007, 21-09-21, Fytoplankton","3.54","2021-nov-24","MST-SX21",NA,"400","21_22","2021-09-20",NA,"MST2021081","MST2021081::2021-09-20"
"75","Karmik","MST2021-082","MST2021082","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",93000005,10.7845083333333,56.8561,"93000005_NOR409","2021-09-07","mcp","ddPCR",213.857364654541,7,9,2021,"1st_season","ddPCR : 1st_season",2.33215024456408,11,10.3845083333333,56.8561,"Karmik","MST2021082_2021-09-07","MST2021082","RasmusBillegrav","Frigg","MSTNJL","2021-09-07","93000005_NOR409",93000005,"56.8561","10.7845083333333","146","1","1500","ja","4","2021-09-08","160.3",NA,"MST2021082","MST2021-082",0.409050658345222,30,30,30,213.857364654541,1955,204.794292449951,1524.23672394226,222.934436798095,2385.76327605774,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021082","2021-09-07",93000005,"56.8561","10.7845083333333","93000005_NOR409",56.8561,10.7845083333333,"MST2021-082","23","Fytoplankton, 07.09.2021, 93000005,","4.09","2021-nov-24","MST-SX21",NA,"400","21_23","2021-09-07",NA,"MST2021082","MST2021082::2021-09-07"
"76","Karmik","MST2021-082","MST2021082","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",93000005,10.7845083333333,56.8561,"93000005_NOR409","2021-09-07","mcp","qPCR",1955,7,9,2021,"1st_season","qPCR : 1st_season",3.29136885045158,11,10.3845083333333,56.8561,"Karmik","MST2021082_2021-09-07","MST2021082","RasmusBillegrav","Frigg","MSTNJL","2021-09-07","93000005_NOR409",93000005,"56.8561","10.7845083333333","146","1","1500","ja","4","2021-09-08","160.3",NA,"MST2021082","MST2021-082",0.409050658345222,30,30,30,213.857364654541,1955,204.794292449951,1524.23672394226,222.934436798095,2385.76327605774,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021082","2021-09-07",93000005,"56.8561","10.7845083333333","93000005_NOR409",56.8561,10.7845083333333,"MST2021-082","23","Fytoplankton, 07.09.2021, 93000005,","4.09","2021-nov-24","MST-SX21",NA,"400","21_23","2021-09-07",NA,"MST2021082","MST2021082::2021-09-07"
"77","Karmik","MST2021-083","MST2021083","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",95600002,10.1517305555556,54.9976833333333,"FYN6300043","2021-10-22","mcp","ddPCR",9.066259264946,22,10,2021,"1st_season","ddPCR : 1st_season",1.00286811182362,11,9.7517305555556,54.9976833333333,"Karmik","MST2021083_2021-10-22","MST2021083","alkri","Sif","MSTFYN","2021-10-22","FYN6300043",95600002,"54.9976833333333","10.1517305555556","34","1","1500","ja","12","2021-10-29","12.5",NA,"MST2021083","MST2021-083",0.409050658345222,30,30,30,9.066259264946,99.6366666666667,7.2700297832489,75.7516371851414,11.1369752883911,123.521696148192,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021083","2021-10-22",95600002,"54.9976833333333","10.1517305555556","FYN6300043",54.9976833333333,10.1517305555556,"MST2021-083","3","Lillebælt Syd, Fyto, Sensommer, 22.10.2021","7.8","2022-jan-11","MST-SX24",NA,"400","24_03","2021-10-22",NA,"MST2021083","MST2021083::2021-10-22"
"78","Karmik","MST2021-083","MST2021083","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",95600002,10.1517305555556,54.9976833333333,"FYN6300043","2021-10-22","mcp","qPCR",99.6366666666667,22,10,2021,"1st_season","qPCR : 1st_season",2.00275624344055,11,9.7517305555556,54.9976833333333,"Karmik","MST2021083_2021-10-22","MST2021083","alkri","Sif","MSTFYN","2021-10-22","FYN6300043",95600002,"54.9976833333333","10.1517305555556","34","1","1500","ja","12","2021-10-29","12.5",NA,"MST2021083","MST2021-083",0.409050658345222,30,30,30,9.066259264946,99.6366666666667,7.2700297832489,75.7516371851414,11.1369752883911,123.521696148192,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021083","2021-10-22",95600002,"54.9976833333333","10.1517305555556","FYN6300043",54.9976833333333,10.1517305555556,"MST2021-083","3","Lillebælt Syd, Fyto, Sensommer, 22.10.2021","7.8","2022-jan-11","MST-SX24",NA,"400","24_03","2021-10-22",NA,"MST2021083","MST2021083::2021-10-22"
"79","Karmik","MST2021-085","MST2021085","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",93000001,11.1501055555556,56.1305,"93000001","2021-09-16","mcp","ddPCR",63.224048614502,16,9,2021,"1st_season","ddPCR : 1st_season",1.80769767954746,11,10.7501055555556,56.1305,"Karmik","MST2021085_2021-09-16","MST2021085","krmsk","sif","SJL","2021-09-16","93000001",93000001,"56.1305","11.1501055555556","439","1","1700","ja","8.8E+016","2021-09-22","173.2",NA,"MST2021085","MST2021-085",0.409050658345222,30,30,30,63.224048614502,353.2,58.4052085876465,297.3,68.0468368530275,409.1,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021085","2021-09-16",93000001,"56.1305","11.1501055555556","93000001",56.1305,11.1501055555556,"MST2021-085","24","Fytoplankton, 16.09.21, 93000001","3.26","2021-nov-24","MST-SX21",NA,"400","21_24","2021-09-16",NA,"MST2021085","MST2021085::2021-09-16"
"80","Karmik","MST2021-085","MST2021085","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",93000001,11.1501055555556,56.1305,"93000001","2021-09-16","mcp","qPCR",353.2,16,9,2021,"1st_season","qPCR : 1st_season",2.54924855685406,11,10.7501055555556,56.1305,"Karmik","MST2021085_2021-09-16","MST2021085","krmsk","sif","SJL","2021-09-16","93000001",93000001,"56.1305","11.1501055555556","439","1","1700","ja","8.8E+016","2021-09-22","173.2",NA,"MST2021085","MST2021-085",0.409050658345222,30,30,30,63.224048614502,353.2,58.4052085876465,297.3,68.0468368530275,409.1,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021085","2021-09-16",93000001,"56.1305","11.1501055555556","93000001",56.1305,11.1501055555556,"MST2021-085","24","Fytoplankton, 16.09.21, 93000001","3.26","2021-nov-24","MST-SX21",NA,"400","21_24","2021-09-16",NA,"MST2021085","MST2021085::2021-09-16"
"81","Karmik","MST2021-099","MST2021099","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",94400007,10.3166972222222,56.1544166666667,"94400007_ARH170006","2021-08-24","mcp","ddPCR",21.0159301757812,24,8,2021,"1st_season","ddPCR : 1st_season",1.34273703917892,11,9.9166972222222,56.1544166666667,"Karmik","MST2021099_2021-08-24","MST2021099","RasmusBillegrav","Frigg","MSTOJL","2021-08-24","94400007_ARH170006",94400007,"56.1544166666667","10.3166972222222","16","1","1500","ja","3","2021-08-25","175.1",NA,"MST2021099","MST2021-099",0.409050658345222,30,30,30,21.0159301757812,172.8,18.3144295215606,160.669047852703,23.9722037315369,184.930952147297,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021099","2021-08-24",94400007,"56.1544166666667","10.3166972222222","94400007_ARH170006",56.1544166666667,10.3166972222222,"MST2021-099","19",NA,"5.4","2022-jan-11","MST-SX24",NA,"400","24_19","2021-08-24",NA,"MST2021099","MST2021099::2021-08-24"
"82","Karmik","MST2021-099","MST2021099","Karenia","mikimotoi","Dinophyceae","Myzozoa","K. mikimotoi",94400007,10.3166972222222,56.1544166666667,"94400007_ARH170006","2021-08-24","mcp","qPCR",172.8,24,8,2021,"1st_season","qPCR : 1st_season",2.24004977211265,11,9.9166972222222,56.1544166666667,"Karmik","MST2021099_2021-08-24","MST2021099","RasmusBillegrav","Frigg","MSTOJL","2021-08-24","94400007_ARH170006",94400007,"56.1544166666667","10.3166972222222","16","1","1500","ja","3","2021-08-25","175.1",NA,"MST2021099","MST2021-099",0.409050658345222,30,30,30,21.0159301757812,172.8,18.3144295215606,160.669047852703,23.9722037315369,184.930952147297,"Karenia","mikimotoi","K","K. mikimotoi","MST","Dinophyceae","Myzozoa","MST2021099","2021-08-24",94400007,"56.1544166666667","10.3166972222222","94400007_ARH170006",56.1544166666667,10.3166972222222,"MST2021-099","19",NA,"5.4","2022-jan-11","MST-SX24",NA,"400","24_19","2021-08-24",NA,"MST2021099","MST2021099::2021-08-24"
"83","Mnelei","MST1022","MST1022","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",94400007,10.3170055555556,56.1547333333333,"ARH1700006_94400007","2021-05-17","mcp","ddPCR",1.40787899494171,17,5,2021,"2nd_season","ddPCR : 2nd_season",0.381634658188137,12,10.0770055555556,56.2347333333333,"Mnelei","MST1022_2021-05-17","MST1022","janeRobertsen","Frigg","MSTOJL","2021-05-17","ARH1700006_94400007",94400007,"56.1547333333333","10.3170055555556","162","1","1100","ja","9","2021-05-20","10.9",NA,"MST1022","MST1022",1.45512744784355,3,3,3,1.40787899494171,8.75666666666667,0.731585696339605,6.6724082054068,2.4104942381382,10.8409251279265,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST1022","2021-05-17",94400007,"56.1547333333333","10.3170055555556","ARH1700006_94400007",56.1547333333333,10.3170055555556,"MST1022","2","Jarob 94400007, 17-05-2021, 1.0 m, ARH170006, FYTO Forår, ARK170006","0.428","2021-dec-08","MST-SX22",NA,"400","22_02","2021-05-17",NA,"MST1022","MST1022::2021-05-17"
"84","Mnelei","MST1022","MST1022","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",94400007,10.3170055555556,56.1547333333333,"ARH1700006_94400007","2021-05-17","mcp","qPCR",8.75666666666667,17,5,2021,"2nd_season","qPCR : 2nd_season",0.989301467714129,12,10.0770055555556,56.2347333333333,"Mnelei","MST1022_2021-05-17","MST1022","janeRobertsen","Frigg","MSTOJL","2021-05-17","ARH1700006_94400007",94400007,"56.1547333333333","10.3170055555556","162","1","1100","ja","9","2021-05-20","10.9",NA,"MST1022","MST1022",1.45512744784355,3,3,3,1.40787899494171,8.75666666666667,0.731585696339605,6.6724082054068,2.4104942381382,10.8409251279265,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST1022","2021-05-17",94400007,"56.1547333333333","10.3170055555556","ARH1700006_94400007",56.1547333333333,10.3170055555556,"MST1022","2","Jarob 94400007, 17-05-2021, 1.0 m, ARH170006, FYTO Forår, ARK170006","0.428","2021-dec-08","MST-SX22",NA,"400","22_02","2021-05-17",NA,"MST1022","MST1022::2021-05-17"
"85","Mnelei","MST1027","MST1027","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",96510125,10.3685111111111,55.0262,"Sydfynskeoehav_BF11","2021-03-19","mcp","ddPCR",0.335396602749825,19,3,2021,"2nd_season","ddPCR : 2nd_season",0.125610267053311,12,10.1285111111111,55.1062,"Mnelei","MST1027_2021-03-19","MST1027","RasmusBillegrav","LivII","MSTFYN","2021-03-19","Sydfynskeoehav_BF11",96510125,"55.0262","10.3685111111111","165","155","1500","ja","95","2021-03-26","42",NA,"MST1027","MST1027",1.45512744784355,3,3,3,0.335396602749825,1.4325,0.0908905919641255,0.644389125820485,0.834837555885315,2.22061087417952,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST1027","2021-03-19",96510125,"55.0262","10.3685111111111","Sydfynskeoehav_BF11",55.0262,10.3685111111111,"MST1027","15",NA,"5.4","2022-feb-01","MST-SX25",NA,"400","25_15","2021-03-19",NA,"MST1027","MST1027::2021-03-19"
"86","Mnelei","MST1027","MST1027","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",96510125,10.3685111111111,55.0262,"Sydfynskeoehav_BF11","2021-03-19","mcp","qPCR",1.4325,19,3,2021,"2nd_season","qPCR : 2nd_season",0.38605284894039,12,10.1285111111111,55.1062,"Mnelei","MST1027_2021-03-19","MST1027","RasmusBillegrav","LivII","MSTFYN","2021-03-19","Sydfynskeoehav_BF11",96510125,"55.0262","10.3685111111111","165","155","1500","ja","95","2021-03-26","42",NA,"MST1027","MST1027",1.45512744784355,3,3,3,0.335396602749825,1.4325,0.0908905919641255,0.644389125820485,0.834837555885315,2.22061087417952,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST1027","2021-03-19",96510125,"55.0262","10.3685111111111","Sydfynskeoehav_BF11",55.0262,10.3685111111111,"MST1027","15",NA,"5.4","2022-feb-01","MST-SX25",NA,"400","25_15","2021-03-19",NA,"MST1027","MST1027::2021-03-19"
"87","Mnelei","MST1028","MST1028","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",95700008,9.81666666666667,54.8341666666667,"FFSB0011","2021-03-15","mcp","ddPCR",0.346112363040447,15,3,2021,"2nd_season","ddPCR : 2nd_season",0.129081312942722,12,9.57666666666667,54.9141666666667,"Mnelei","MST1028_2021-03-15","MST1028","RasmusBillegrav","LivII","MSTSYD","2021-03-15","FFSB0011",95700008,"54.8341666666667","9.81666666666667","292","282","1600","ja","17","2021-03-26","27.8",NA,"MST1028","MST1028",1.45512744784355,3,3,3,0.346112363040447,4.50333333333333,0.093794446438551,3.0599230197588,0.86151145398617,5.94674364690787,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST1028","2021-03-15",95700008,"54.8341666666667","9.81666666666667","FFSB0011",54.8341666666667,9.81666666666667,"MST1028","11",NA,"7.15","2022-jan-06","MST-SX23",NA,"400","23_11","2021-03-15",NA,"MST1028","MST1028::2021-03-15"
"88","Mnelei","MST1028","MST1028","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",95700008,9.81666666666667,54.8341666666667,"FFSB0011","2021-03-15","mcp","qPCR",4.50333333333333,15,3,2021,"2nd_season","qPCR : 2nd_season",0.740625818543131,12,9.57666666666667,54.9141666666667,"Mnelei","MST1028_2021-03-15","MST1028","RasmusBillegrav","LivII","MSTSYD","2021-03-15","FFSB0011",95700008,"54.8341666666667","9.81666666666667","292","282","1600","ja","17","2021-03-26","27.8",NA,"MST1028","MST1028",1.45512744784355,3,3,3,0.346112363040447,4.50333333333333,0.093794446438551,3.0599230197588,0.86151145398617,5.94674364690787,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST1028","2021-03-15",95700008,"54.8341666666667","9.81666666666667","FFSB0011",54.8341666666667,9.81666666666667,"MST1028","11",NA,"7.15","2022-jan-06","MST-SX23",NA,"400","23_11","2021-03-15",NA,"MST1028","MST1028::2021-03-15"
"89","Mnelei","MST1054","MST1054","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",99000052,13.3,55,"DMU444_Arkona","2021-05-18","mcp","ddPCR",0.32581090927124,18,5,2021,"2nd_season","ddPCR : 2nd_season",0.122481588234693,12,13.06,55.08,"Mnelei","MST1054_2021-05-18","MST1054","ALKRI_NIFSO","Sif","MST_FYN","2021-05-18","DMU444_Arkona",99000052,"55","13.3","48","1","1400","ja","38m","2021-05-31","92",NA,"MST1054","MST1054",1.45512744784355,3,3,3,0.32581090927124,0,0.0882929656654595,0,0.810976773500445,0,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST1054","2021-05-18",99000052,"55","13.3","DMU444_Arkona",55,13.3,"MST1054","23","Plankton, DMU444, 18.05.2021","6.85","2022-jan-11","MST-SX24",NA,"400","24_23","2021-05-18",NA,"MST1054","MST1054::2021-05-18"
"90","Mnelei","MST2021-006","MST2021006","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",99210007,12.0851805555556,54.7410833333333,"1001027Hovedeskov","2021-08-24","mcp","ddPCR",227.554588317871,24,8,2021,"1st_season","ddPCR : 1st_season",2.35898994433517,12,11.8451805555556,54.8210833333333,"Mnelei","MST2021006_2021-08-24","MST2021006","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-24","1001027Hovedeskov",99210007,"54.7410833333333","12.0851805555556","106","96","1400","nej","_","2021-08-25","17.3",NA,"MST2021006","MST2021-006",1.45512744784355,3,3,3,227.554588317871,1215.23333333333,218.355331420898,859.781137766428,236.768226623535,1570.68552890024,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST2021006","2021-08-24",99210007,"54.7410833333333","12.0851805555556","1001027Hovedeskov",54.7410833333333,12.0851805555556,"MST2021-006","13",NA,"7.65","2022-jan-11","MST-SX24",NA,"400","24_13","2021-08-24",NA,"MST2021006","MST2021006::2021-08-24"
"91","Mnelei","MST2021-006","MST2021006","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",99210007,12.0851805555556,54.7410833333333,"1001027Hovedeskov","2021-08-24","mcp","ddPCR",227.554588317871,24,8,2021,"1st_season","ddPCR : 1st_season",2.35898994433517,12,11.8451805555556,54.8210833333333,"Mnelei","MST2021006_2021-08-24","MST2021006","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-24","1001027Hovedeskov",99210007,"54.7410833333333","12.0851805555556","106","96","1400","nej","_","2021-08-25","17.3",NA,"MST2021006","MST2021-006",1.45512744784355,3,3,3,227.554588317871,1215.23333333333,218.355331420898,859.781137766428,236.768226623535,1570.68552890024,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST2021006","2021-08-24",99210007,"54.7410833333333","12.0851805555556","1001027Hovedeskov",54.7410833333333,12.0851805555556,"MST2021-006","7",NA,"15.4","'2023-jan31","MST-SX27",NA,"400","27_07","2022-07-11",NA,"MST2021006","MST2021006::2022-07-11"
"92","Mnelei","MST2021-006","MST2021006","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",99210007,12.0851805555556,54.7410833333333,"1001027Hovedeskov","2021-08-24","mcp","qPCR",1215.23333333333,24,8,2021,"1st_season","qPCR : 1st_season",3.08501690195805,12,11.8451805555556,54.8210833333333,"Mnelei","MST2021006_2021-08-24","MST2021006","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-24","1001027Hovedeskov",99210007,"54.7410833333333","12.0851805555556","106","96","1400","nej","_","2021-08-25","17.3",NA,"MST2021006","MST2021-006",1.45512744784355,3,3,3,227.554588317871,1215.23333333333,218.355331420898,859.781137766428,236.768226623535,1570.68552890024,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST2021006","2021-08-24",99210007,"54.7410833333333","12.0851805555556","1001027Hovedeskov",54.7410833333333,12.0851805555556,"MST2021-006","13",NA,"7.65","2022-jan-11","MST-SX24",NA,"400","24_13","2021-08-24",NA,"MST2021006","MST2021006::2021-08-24"
"93","Mnelei","MST2021-006","MST2021006","Mnemiopsis","leidyi","Tentaculata","Ctenophora","M. leidyi",99210007,12.0851805555556,54.7410833333333,"1001027Hovedeskov","2021-08-24","mcp","qPCR",1215.23333333333,24,8,2021,"1st_season","qPCR : 1st_season",3.08501690195805,12,11.8451805555556,54.8210833333333,"Mnelei","MST2021006_2021-08-24","MST2021006","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-24","1001027Hovedeskov",99210007,"54.7410833333333","12.0851805555556","106","96","1400","nej","_","2021-08-25","17.3",NA,"MST2021006","MST2021-006",1.45512744784355,3,3,3,227.554588317871,1215.23333333333,218.355331420898,859.781137766428,236.768226623535,1570.68552890024,"Mnemiopsis","leidyi","M","M. leidyi","MST","Tentaculata","Ctenophora","MST2021006","2021-08-24",99210007,"54.7410833333333","12.0851805555556","1001027Hovedeskov",54.7410833333333,12.0851805555556,"MST2021-006","7",NA,"15.4","'2023-jan31","MST-SX27",NA,"400","27_07","2022-07-11",NA,"MST2021006","MST2021006::2022-07-11"
